RGIId,name,name_RGI60,area,lon,lat,mb_gta,mb_mwea,mb_mwea_sigma,term_type,date_start,length_yr,date0_raw,date1_raw,date0,date1
RGI60-01.00042,Yanert,Yanert,84,-147.53,63.6,-0.25,-3.01,-0.441466667,Land,5/6/01,12,5/6/01,5/6/13,2001-05-06,2013-05-06
RGI60-01.19515,Tlikakila N. Fork,TlikakilaNorthFork,32,-153.47,60.78,-0.05,-1.6,-0.234666667,Land,5/14/01,12,5/14/01,5/14/13,2001-05-14,2013-05-14
RGI60-01.22222,Toklat 3,Toklat3,9,-150.12,63.37,-0.01,-1.41,-0.2068,Land,5/21/01,12,5/21/01,5/21/13,2001-05-21,2013-05-21
RGI60-01.21709,Toklat 2,Toklat2,8,-149.89,63.38,-0.01,-1.37,-0.200933333,Land,5/21/01,12,5/21/01,5/21/13,2001-05-21,2013-05-21
RGI60-01.22221,Dall,Dall Glacier,196,-152.06,62.67,-0.26,-1.35,-0.198,Land,5/17/08,5,5/17/08,5/17/13,2008-05-17,2013-05-17
RGI60-01.21692,Mystic,Mystic Glacier,47,-152.34,62.59,-0.06,-1.31,-0.192133333,Land,5/17/08,5,5/17/08,5/17/13,2008-05-17,2013-05-17
RGI60-01.19413,Neacola,Neacola Glacier,52,-153.4,60.86,-0.07,-1.29,-0.1892,Land,5/22/08,5,5/22/08,5/22/13,2008-05-22,2013-05-22
RGI60-01.19419,Turquoise,Tourquise Glacier,17,-153.68,60.78,-0.02,-1.27,-0.186266667,Land,5/17/96,17,5/17/96,5/17/13,1996-05-17,2013-05-17
RGI60-01.00390,West Gulkana,West Gulkana Glacier,2,-145.51,63.28,0,-1.22,-0.178933333,Land,5/17/95,18,5/17/95,5/17/13,1995-05-17,2013-05-17
RGI60-01.19801,Tlikakila Fork,TlikakilaGlacierFork,105,-153.19,60.85,-0.12,-1.18,-0.173066667,Land,5/14/01,12,5/14/01,5/14/13,2001-05-14,2013-05-14
RGI60-01.21721,Toklat 1,Toklat1,6,-149.67,63.42,-0.01,-1.14,-0.1672,Land,5/6/96,17,5/6/96,5/6/13,1996-05-06,2013-05-06
RGI60-01.00571,Canwell,Canwell Glacier,60,-145.45,63.32,-0.06,-1.03,-0.151066667,Land,5/24/05,8,5/24/05,5/24/13,2005-05-24,2013-05-24
RGI60-01.22186,Tokositna,Tokositna Glacier,204,-150.91,62.86,-0.2,-0.97,-0.142266667,Land,4/30/01,7,4/30/01,4/30/08,2001-04-30,2008-04-30
RGI60-01.26743,Lacuna,Lacuna Glacier,176,-151.48,62.81,-0.16,-0.93,-0.1364,Land,5/17/08,5,5/17/08,5/17/13,2008-05-17,2013-05-17
RGI60-01.22171,Eldridge,Eldridge Glacier,406,-150.29,63.09,-0.36,-0.89,-0.130533333,Land,5/16/08,5,5/16/08,5/16/13,2008-05-16,2013-05-16
RGI60-01.22178,Ruth,Ruth Glacier,336,-150.68,62.91,-0.3,-0.89,-0.130533333,Land,4/30/01,7,4/30/01,4/30/08,2001-04-30,2008-04-30
